"user_id","payment_month","total_revenue","previous_paid_month","next_paid_month","next_calendar_month","previous_calendar_month","previous_paid_month_revenue","new_mrr","new_paid_users","churn_revenue","churn_users","churn_month","expansion_revenue","contraction_revenue","user_id","game_name","language","has_older_device_model","age"
"1tIsLi6U0zW1RIuaViNanA==",2022-11-01 00:00:00.000 +0200,18.15,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,29.25,,,,,,,-11.10,,,,,
"1tIsLi6U0zW1RIuaViNanA==",2022-12-01 00:00:00.000 +0200,69.48,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,18.15,,,69.48,1,2023-01-01,51.33,,,,,,
"29qvbD06oXdmg5G7X/Wigw==",2022-12-01 00:00:00.000 +0200,24.51,,,2023-01-01,2022-11-01,,24.51,1,24.51,1,2023-01-01,,,,,,,
"2be8IOVjt9pzDDEVqZwIKQ==",2022-10-01 00:00:00.000 +0300,27.0,,2022-12-01 00:00:00.000 +0200,2022-11-01,2022-09-01,,27.0,1,27.0,1,2022-11-01,,,,,,,
"2be8IOVjt9pzDDEVqZwIKQ==",2022-12-01 00:00:00.000 +0200,69.96,2022-10-01 00:00:00.000 +0300,,2023-01-01,2022-11-01,27.0,,,69.96,1,2023-01-01,,,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-04-01 00:00:00.000 +0300,56.85,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,56.85,1,,,,,,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-05-01 00:00:00.000 +0300,30.33,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,56.85,,,,,,,-26.52,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-06-01 00:00:00.000 +0300,22.47,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,30.33,,,,,,,-7.86,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-07-01 00:00:00.000 +0300,24.84,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,22.47,,,,,,2.37,,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-08-01 00:00:00.000 +0300,14.19,2022-07-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-09-01,2022-07-01,24.84,,,14.19,1,2022-09-01,,-10.65,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-10-01 00:00:00.000 +0300,42.84,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,14.19,,,,,,,,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-11-01 00:00:00.000 +0200,29.13,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,42.84,,,,,,,-13.71,,,,,
"2FYEYdoJMUOtbJ6TruruWA==",2022-12-01 00:00:00.000 +0200,14.13,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,29.13,,,14.13,1,2023-01-01,,-15.00,,,,,
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-09-01 00:00:00.000 +0300,14.04,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,14.04,1,,,,,,,,,,
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-10-01 00:00:00.000 +0300,56.04,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,14.04,,,,,,42.00,,,,,,
"2KL9Q4TKLCcD4cngwhx6Dg==",2022-11-01 00:00:00.000 +0200,24.84,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,56.04,,,24.84,1,2022-12-01,,-31.20,,,,,
"2onLVyXEEj2aH+D4N9ldYQ==",2022-08-01 00:00:00.000 +0300,50.04,,2022-10-01 00:00:00.000 +0300,2022-09-01,2022-07-01,,50.04,1,50.04,1,2022-09-01,,,,,,,
"2onLVyXEEj2aH+D4N9ldYQ==",2022-10-01 00:00:00.000 +0300,42.72,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,50.04,,,,,,,,,,,,
"2onLVyXEEj2aH+D4N9ldYQ==",2022-11-01 00:00:00.000 +0200,22.68,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,42.72,,,,,,,-20.04,,,,,
"2onLVyXEEj2aH+D4N9ldYQ==",2022-12-01 00:00:00.000 +0200,106.38,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,22.68,,,106.38,1,2023-01-01,83.70,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-04-01 00:00:00.000 +0300,54.96,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,54.96,1,,,,,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-05-01 00:00:00.000 +0300,72.06,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,54.96,,,,,,17.10,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-06-01 00:00:00.000 +0300,25.35,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,72.06,,,,,,,-46.71,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-07-01 00:00:00.000 +0300,38.10,2022-06-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-08-01,2022-06-01,25.35,,,38.10,1,2022-08-01,12.75,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-09-01 00:00:00.000 +0300,12.12,2022-07-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,38.10,,,,,,,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-10-01 00:00:00.000 +0300,21.87,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,12.12,,,,,,9.75,,,,,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",2022-11-01 00:00:00.000 +0200,15.99,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,21.87,,,15.99,1,2022-12-01,,-5.88,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01 00:00:00.000 +0200,23.76,,2022-04-01 00:00:00.000 +0300,2022-04-01,2022-02-01,,23.76,1,,,,,,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-04-01 00:00:00.000 +0300,81.42,2022-03-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,23.76,,,,,,57.66,,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-05-01 00:00:00.000 +0300,15.69,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,81.42,,,,,,,-65.73,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-06-01 00:00:00.000 +0300,34.35,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,15.69,,,,,,18.66,,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-07-01 00:00:00.000 +0300,50.58,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,34.35,,,,,,16.23,,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-08-01 00:00:00.000 +0300,97.08,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,50.58,,,,,,46.50,,,,,,
"3iITAz/ADjFv3PDTgTjxSg==",2022-09-01 00:00:00.000 +0300,18.72,2022-08-01 00:00:00.000 +0300,,2022-10-01,2022-08-01,97.08,,,18.72,1,2022-10-01,,-78.36,,,,,
"3KHhqZr7/1n2+bTP13WuXA==",2022-06-01 00:00:00.000 +0300,74.85,,2022-08-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,74.85,1,74.85,1,2022-07-01,,,,,,,
"3KHhqZr7/1n2+bTP13WuXA==",2022-08-01 00:00:00.000 +0300,20.19,2022-06-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,74.85,,,,,,,,,,,,
"3KHhqZr7/1n2+bTP13WuXA==",2022-09-01 00:00:00.000 +0300,48.27,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,20.19,,,,,,28.08,,,,,,
"3KHhqZr7/1n2+bTP13WuXA==",2022-10-01 00:00:00.000 +0300,29.22,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,48.27,,,29.22,1,2022-11-01,,-19.05,,,,,
"3KSfEl7FcP/+5FSUNXs5Aw==",2022-10-01 00:00:00.000 +0300,23.31,,,2022-11-01,2022-09-01,,23.31,1,23.31,1,2022-11-01,,,,,,,
"3OXz+Ar2gN+zfGLZTRCVMQ==",2022-12-01 00:00:00.000 +0200,18.9,,,2023-01-01,2022-11-01,,18.9,1,18.9,1,2023-01-01,,,,,,,
"3rCdNEPkh3vwmYB0BVadEw==",2022-05-01 00:00:00.000 +0300,22.86,,2022-07-01 00:00:00.000 +0300,2022-06-01,2022-04-01,,22.86,1,22.86,1,2022-06-01,,,,,,,
"3rCdNEPkh3vwmYB0BVadEw==",2022-07-01 00:00:00.000 +0300,21.87,2022-05-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,22.86,,,,,,,,,,,,
"3rCdNEPkh3vwmYB0BVadEw==",2022-08-01 00:00:00.000 +0300,17.34,2022-07-01 00:00:00.000 +0300,,2022-09-01,2022-07-01,21.87,,,17.34,1,2022-09-01,,-4.53,,,,,
"3TfpxDVNF0T+g4S60EOCBw==",2022-11-01 00:00:00.000 +0200,15.27,,,2022-12-01,2022-10-01,,15.27,1,15.27,1,2022-12-01,,,,,,,
"3v8rT35Ra6ui/zatnMoTIw==",2022-11-01 00:00:00.000 +0200,17.85,,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,,17.85,1,,,,,,,,,,
"3v8rT35Ra6ui/zatnMoTIw==",2022-12-01 00:00:00.000 +0200,43.62,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,17.85,,,43.62,1,2023-01-01,25.77,,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-04-01 00:00:00.000 +0300,59.67,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,59.67,1,,,,,,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-05-01 00:00:00.000 +0300,12.36,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,59.67,,,,,,,-47.31,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-06-01 00:00:00.000 +0300,20.13,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,12.36,,,,,,7.77,,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-07-01 00:00:00.000 +0300,15.78,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,20.13,,,,,,,-4.35,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-08-01 00:00:00.000 +0300,17.16,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,15.78,,,,,,1.38,,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-09-01 00:00:00.000 +0300,19.74,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01,2022-08-01,17.16,,,19.74,1,2022-10-01,2.58,,,,,,
"3Whh6FLR1MSfsuHKVdCEYQ==",2022-12-01 00:00:00.000 +0200,26.73,2022-09-01 00:00:00.000 +0300,,2023-01-01,2022-11-01,19.74,,,26.73,1,2023-01-01,,,,,,,
"3Xuq0acIoGEgw19qflIoog==",2022-06-01 00:00:00.000 +0300,12.69,,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,12.69,1,,,,,,,,,,
"3Xuq0acIoGEgw19qflIoog==",2022-07-01 00:00:00.000 +0300,41.73,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,12.69,,,,,,29.04,,,,,,
"3Xuq0acIoGEgw19qflIoog==",2022-08-01 00:00:00.000 +0300,19.86,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,41.73,,,,,,,-21.87,,,,,
"3Xuq0acIoGEgw19qflIoog==",2022-09-01 00:00:00.000 +0300,34.32,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,19.86,,,,,,14.46,,,,,,
"3Xuq0acIoGEgw19qflIoog==",2022-10-01 00:00:00.000 +0300,30.9,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,34.32,,,30.9,1,2022-11-01,,-3.42,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-03-01 00:00:00.000 +0200,27.15,,2022-04-01 00:00:00.000 +0300,2022-04-01,2022-02-01,,27.15,1,,,,,,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-04-01 00:00:00.000 +0300,14.94,2022-03-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,27.15,,,,,,,-12.21,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-05-01 00:00:00.000 +0300,26.40,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,14.94,,,,,,11.46,,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-06-01 00:00:00.000 +0300,22.83,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,26.40,,,,,,,-3.57,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-07-01 00:00:00.000 +0300,89.28,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,22.83,,,,,,66.45,,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-08-01 00:00:00.000 +0300,16.56,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,89.28,,,,,,,-72.72,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-09-01 00:00:00.000 +0300,18.24,2022-08-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-10-01,2022-08-01,16.56,,,18.24,1,2022-10-01,1.68,,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-11-01 00:00:00.000 +0200,31.26,2022-09-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,18.24,,,,,,,,,,,,
"4b7l8C489HEJirtoe7xtFg==",2022-12-01 00:00:00.000 +0200,21.75,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,31.26,,,21.75,1,2023-01-01,,-9.51,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-03-01 00:00:00.000 +0200,17.79,,2022-04-01 00:00:00.000 +0300,2022-04-01,2022-02-01,,17.79,1,,,,,,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-04-01 00:00:00.000 +0300,125.97,2022-03-01 00:00:00.000 +0200,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,17.79,,,,,,108.18,,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-05-01 00:00:00.000 +0300,91.68,2022-04-01 00:00:00.000 +0300,2022-06-01 00:00:00.000 +0300,2022-06-01,2022-04-01,125.97,,,,,,,-34.29,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-06-01 00:00:00.000 +0300,27.87,2022-05-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,91.68,,,,,,,-63.81,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-07-01 00:00:00.000 +0300,40.71,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,27.87,,,,,,12.84,,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-08-01 00:00:00.000 +0300,47.91,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,40.71,,,,,,7.20,,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-09-01 00:00:00.000 +0300,23.34,2022-08-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-10-01,2022-08-01,47.91,,,23.34,1,2022-10-01,,-24.57,,,,,
"4btLP2zvi8eBV0t08fdkKQ==",2022-12-01 00:00:00.000 +0200,92.10,2022-09-01 00:00:00.000 +0300,,2023-01-01,2022-11-01,23.34,,,92.10,1,2023-01-01,,,,,,,
"4EiWC2ewiX2A7i9NuBAefQ==",2022-09-01 00:00:00.000 +0300,18.69,,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,,18.69,1,,,,,,,,,,
"4EiWC2ewiX2A7i9NuBAefQ==",2022-10-01 00:00:00.000 +0300,57.39,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,18.69,,,,,,38.70,,,,,,
"4EiWC2ewiX2A7i9NuBAefQ==",2022-11-01 00:00:00.000 +0200,29.79,2022-10-01 00:00:00.000 +0300,,2022-12-01,2022-10-01,57.39,,,29.79,1,2022-12-01,,-27.60,,,,,
"4oH5e29koOH9zNYW8Kwcsg==",2022-05-01 00:00:00.000 +0300,12.99,,2022-07-01 00:00:00.000 +0300,2022-06-01,2022-04-01,,12.99,1,12.99,1,2022-06-01,,,,,,,
"4oH5e29koOH9zNYW8Kwcsg==",2022-07-01 00:00:00.000 +0300,18.06,2022-05-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,12.99,,,,,,,,,,,,
"4oH5e29koOH9zNYW8Kwcsg==",2022-08-01 00:00:00.000 +0300,12.51,2022-07-01 00:00:00.000 +0300,,2022-09-01,2022-07-01,18.06,,,12.51,1,2022-09-01,,-5.55,,,,,
"4pssft0TgDfiQexjbe25lw==",2022-06-01 00:00:00.000 +0300,14.76,,2022-07-01 00:00:00.000 +0300,2022-07-01,2022-05-01,,14.76,1,,,,,,,,,,
"4pssft0TgDfiQexjbe25lw==",2022-07-01 00:00:00.000 +0300,14.43,2022-06-01 00:00:00.000 +0300,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,14.76,,,,,,,-0.33,,,,,
"4pssft0TgDfiQexjbe25lw==",2022-08-01 00:00:00.000 +0300,59.40,2022-07-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-09-01,2022-07-01,14.43,,,59.40,1,2022-09-01,44.97,,,,,,
